index,time,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
23085,2023-07-13,3,3,1,3,0,3,1,3,0,0,3,3,1,0
23084,2023-07-10,3,3,0,0,1,0,0,0,0,0,1,3,1,3
23083,2023-07-09,0,1,1,3,3,3,1,1,3,0,0,0,3,3
23082,2023-07-04,1,1,3,1,3,3,0,3,3,3,1,0,3,0
23081,2023-07-02,3,1,3,1,1,0,3,3,3,1,3,3,1,3
23080,2023-06-25,0,0,3,3,3,1,1,1,1,1,1,3,0,3
23079,2023-06-21,1,3,3,3,3,3,1,0,3,3,0,3,1,3
23078,2023-06-18,3,3,3,1,3,1,1,0,3,0,1,0,3,0
23077,2023-06-17,3,3,3,3,0,0,3,0,0,0,3,1,0,0
23076,2023-06-12,3,0,0,3,1,3,0,3,3,3,0,1,0,1
23075,2023-06-05,3,0,3,3,0,3,3,1,1,3,1,1,3,1
23074,2023-06-04,3,3,0,0,3,3,0,0,3,3,1,0,0,3
23073,2023-05-29,1,3,3,0,3,1,3,3,3,0,0,3,3,1
23072,2023-05-28,3,3,0,1,3,3,0,0,3,0,3,1,3,3
23071,2023-05-26,1,3,0,3,1,3,3,1,3,0,1,3,3,3
23070,2023-05-22,3,3,0,0,1,1,3,0,3,3,1,1,0,0
23069,2023-05-21,1,1,1,0,3,1,3,1,0,3,3,3,0,3
23068,2023-05-20,3,0,3,0,3,3,1,0,3,0,1,3,1,3
23067,2023-05-19,3,0,3,1,0,3,3,1,1,0,0,3,3,0
23066,2023-05-15,0,3,0,1,3,3,3,1,3,0,0,3,1,1
23065,2023-05-14,1,3,3,3,3,3,3,3,3,3,3,3,3,3
23064,2023-05-13,3,1,0,1,3,3,3,0,0,3,3,3,1,0
23063,2023-05-08,0,3,3,1,3,0,1,0,3,1,3,0,1,0
23062,2023-05-07,3,0,3,3,3,0,3,3,3,0,0,3,3,3
23061,2023-05-04,3,3,3,0,1,1,3,3,3,3,1,3,0,3
23060,2023-05-01,3,3,0,3,3,3,3,3,1,3,0,3,0,3
23059,2023-04-30,3,3,3,1,0,1,3,3,1,0,3,3,3,3
23058,2023-04-29,0,1,3,0,3,0,0,0,0,0,1,3,3,0
23057,2023-04-27,3,3,1,3,0,0,3,3,3,0,1,0,3,3
23056,2023-04-24,0,3,1,3,0,3,3,0,3,3,0,0,3,0
23055,2023-04-23,3,3,1,1,3,3,0,3,0,1,0,3,3,3
23054,2023-04-22,1,1,3,3,3,1,0,3,3,3,0,0,0,1
23053,2023-04-20,1,0,1,1,3,1,0,1,0,1,3,0,3,1
